,game_id,week,season_type,game_date,posteam,defteam,home_team,away_team,qtr,down,ydstogo,yardline_100,quarter_seconds_remaining,game_seconds_remaining,score_differential,play_id,play_type,desc,shotgun,no_huddle,qb_dropback,qb_scramble,pass_attempt,complete_pass,incomplete_pass,passer_player_name,receiver_player_name,receiver_player_id,passing_yards,air_yards,yards_after_catch,pass_location,pass_length,interception,sack,touchdown,pass_touchdown,rush_attempt,rushing_yards,rush_touchdown,run_location,run_gap,rusher_player_name,rusher_player_id,epa,wpa,success,cpoe,first_down,xyac_epa,xyac_mean_yardage,fumble,fumble_lost,penalty,is_play_action
2216,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,1.0,10.0,65.0,900.0,3600.0,0.0,67.0,pass,(15:00) (Shotgun) 14-S.Darnold pass short middle to 11-J.Smith-Njigba to SF 47 for 18 yards (25-J.Pinnock).,1.0,0.0,1.0,0.0,1.0,1.0,0.0,S.Darnold,J.Smith-Njigba,00-0038543,18.0,13.0,5.0,middle,short,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,1.2063548839651048,0.01805645227432251,1.0,27.065247297286987,1.0,0.2588020370531614,4.771704794053221,0.0,0.0,0.0,0
2217,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,1.0,10.0,47.0,861.0,3561.0,0.0,92.0,run,(14:21) 9-K.Walker right end to SF 43 for 4 yards (2-D.Lenoir).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,4.0,0.0,right,end,K.Walker,00-0038134,-0.28072715550661087,-0.015032708644866943,0.0,,0.0,,,0.0,0.0,0.0,0
2218,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,2.0,6.0,43.0,822.0,3522.0,0.0,114.0,run,(13:42) (Shotgun) 6-J.Milroe up the middle to SF 42 for 1 yard (92-J.Elliott; 57-L.Gifford).,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,middle,,J.Milroe,00-0040673,-0.5514981909655035,-0.026997864246368408,0.0,,0.0,,,0.0,0.0,0.0,0
2219,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,3.0,5.0,42.0,784.0,3484.0,0.0,140.0,pass,(13:04) (Shotgun) 14-S.Darnold pass short right to 88-A.Barner to SF 42 for no gain (36-M.Sigle) [97-N.Bosa].,1.0,0.0,1.0,0.0,1.0,1.0,0.0,S.Darnold,A.Barner,00-0039793,0.0,0.0,0.0,right,short,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,-1.8396103186532855,-0.047257184982299805,0.0,65.86806774139404,0.0,2.235763025592743,6.919976327742916,0.0,0.0,0.0,0
2240,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,1.0,10.0,69.0,217.0,2917.0,-7.0,687.0,run,(3:37) 26-Z.Charbonnet right end to SEA 37 for 6 yards (25-J.Pinnock).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,6.0,0.0,right,end,Z.Charbonnet,00-0039165,0.27302166586741805,0.009916454553604126,1.0,,0.0,,,0.0,0.0,0.0,0
2241,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,2.0,4.0,63.0,180.0,2880.0,-7.0,709.0,run,"(3:00) 26-Z.Charbonnet left tackle to SEA 42 for 5 yards (54-F.Warner; 95-A.Collins). PENALTY on SF-2-D.Lenoir, Unnecessary Roughness, 15 yards, enforced at SEA 42.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,5.0,0.0,left,tackle,Z.Charbonnet,00-0039165,1.2419235294219106,0.0240725576877594,1.0,,1.0,,,0.0,0.0,1.0,0
2242,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,1.0,10.0,43.0,157.0,2857.0,-7.0,742.0,pass,(2:37) 14-S.Darnold pass deep right to 11-J.Smith-Njigba ran ob at SF 22 for 21 yards.,0.0,0.0,1.0,0.0,1.0,1.0,0.0,S.Darnold,J.Smith-Njigba,00-0038543,21.0,19.0,2.0,right,deep,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,1.5093741433229297,0.05474740266799927,1.0,45.296651124954224,1.0,0.2172786342383719,3.9344876094255596,0.0,0.0,0.0,1
2243,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,1.0,10.0,22.0,126.0,2826.0,-7.0,777.0,run,(2:06) 26-Z.Charbonnet right end pushed ob at SF 17 for 5 yards (36-M.Sigle). SF-54-F.Warner was injured during the play.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,5.0,0.0,right,end,Z.Charbonnet,00-0039165,0.09537548996740952,-0.016859352588653564,1.0,,0.0,,,0.0,0.0,0.0,0
2244,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,2.0,5.0,17.0,103.0,2803.0,-7.0,807.0,run,(1:43) (Shotgun) 9-K.Walker right guard to SF 13 for 4 yards (36-M.Sigle).,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,4.0,0.0,right,guard,K.Walker,00-0038134,0.05828018329339102,0.015602469444274902,1.0,,0.0,,,0.0,0.0,0.0,0
2245,2025_01_SF_SEA,1,REG,2025-09-07,SEA,SF,SEA,SF,1.0,3.0,1.0,13.0,69.0,2769.0,-7.0,836.0,run,(1:09) (Shotgun) Direct snap to 88-A.Barner. 88-A.Barner up the middle to SF 11 for 2 yards (48-T.Bethune; 57-L.Gifford).,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,middle,,A.Barner,00-0039793,0.23273587407311425,0.009380191564559937,1.0,,1.0,,,0.0,0.0,0.0,0
